,MAE,MRE,RMSE,r_{\mathrm{Pearson}},\rho_{\mathrm{Spearman}}
Steps,BOLD{0.464 ± 0.014},BOLD{1.046 ± 0.03},BOLD{0.983 ± 0.042},-0.179 ± 0.017,-0.154 ± 0.082
ActivityCounts,0.568 ± 0.011,1.141 ± 0.049,1.013 ± 0.033,-0.168 ± 0.016,-0.187 ± 0.042
EnergyExpenditure,0.609 ± 0.016,1.16 ± 0.118,1.025 ± 0.041,-0.215 ± 0.018,-0.199 ± 0.05
RESP,0.758 ± 0.011,1.545 ± 0.238,1.019 ± 0.017,-0.197 ± 0.017,-0.219 ± 0.019
BloodPulseWave,0.759 ± 0.014,1.47 ± 0.209,1.02 ± 0.019,-0.21 ± 0.017,-0.234 ± 0.02
HR,0.804 ± 0.016,1.784 ± 0.51,1.038 ± 0.023,-0.292 ± 0.022,-0.325 ± 0.023
HRV,0.819 ± 0.015,2.676 ± 2.312,1.029 ± 0.019,-0.26 ± 0.017,-0.272 ± 0.017
SkinTemperature,0.823 ± 0.021,1.965 ± 0.609,1.048 ± 0.024,-0.315 ± 0.023,-0.333 ± 0.026
BloodPerfusion,0.845 ± 0.018,1.342 ± 0.088,1.041 ± 0.023,-0.296 ± 0.023,-0.31 ± 0.024
Barometer,0.864 ± 0.021,1.376 ± 0.204,1.052 ± 0.026,BOLD{-0.34 ± 0.027},BOLD{-0.36 ± 0.027}
