,MAE,MRE,RMSE,r_{\mathrm{Pearson}},\rho_{\mathrm{Spearman}}
Barometer,BOLD{0.213 ± 0.024},BOLD{0.939 ± 0.44},BOLD{0.584 ± 0.066},BOLD{0.829 ± 0.033},BOLD{0.878 ± 0.022}
Steps,0.361 ± 0.035,1.233 ± 0.493,1.172 ± 0.098,0.258 ± 0.038,0.686 ± 0.029
SkinTemperature,0.43 ± 0.024,4.899 ± 2.99,0.763 ± 0.066,0.716 ± 0.038,0.779 ± 0.022
EnergyExpenditure,0.482 ± 0.031,2.631 ± 1.629,1.151 ± 0.089,0.363 ± 0.042,0.545 ± 0.028
HR,0.51 ± 0.02,5.007 ± 2.38,0.837 ± 0.039,0.657 ± 0.025,0.757 ± 0.018
BloodPerfusion,0.54 ± 0.021,3.314 ± 0.641,0.859 ± 0.062,0.642 ± 0.035,0.679 ± 0.02
ActivityCounts,0.583 ± 0.044,3.382 ± 0.483,1.475 ± 0.198,0.193 ± 0.032,0.482 ± 0.027
HRV,0.728 ± 0.021,14.696 ± 18.976,1.012 ± 0.031,0.506 ± 0.024,0.534 ± 0.024
BloodPulseWave,0.8 ± 0.028,7.535 ± 2.152,1.197 ± 0.05,0.325 ± 0.028,0.4 ± 0.024
RESP,0.877 ± 0.028,10.117 ± 3.067,1.286 ± 0.049,0.326 ± 0.023,0.37 ± 0.02
