,MAE,MRE,RMSE,r_{\mathrm{Pearson}},\rho_{\mathrm{Spearman}}
Barometer,BOLD{29.324 ± 30.319},BOLD{47.821 ± 61.846},640.827 ± 723.83,-0.001 ± 0.077,BOLD{0.684 ± 0.041}
SkinTemperature,36.525 ± 44.7,117.582 ± 120.051,884.89 ± 1133.396,BOLD{0.022 ± 0.061},0.604 ± 0.038
HRV,48.344 ± 55.961,333.545 ± 377.206,BOLD{640.035 ± 1116.046},0.012 ± 0.044,0.236 ± 0.039
BloodPerfusion,85.437 ± 84.672,683.532 ± 2737.075,1380.555 ± 1850.856,0.002 ± 0.052,0.22 ± 0.048
Steps,97.138 ± 194.138,341.832 ± 712.236,2496.856 ± 4464.591,0.001 ± 0.025,0.486 ± 0.041
HR,138.699 ± 194.773,833.681 ± 1762.619,2331.187 ± 3115.399,0.014 ± 0.034,0.222 ± 0.045
EnergyExpenditure,296.714 ± 385.17,902.809 ± 1084.303,7530.706 ± 11026.014,0.011 ± 0.015,0.25 ± 0.038
RESP,365.173 ± 691.049,3021.717 ± 5522.315,6269.485 ± 11425.495,0.013 ± 0.031,0.08 ± 0.026
BloodPulseWave,388.892 ± 443.098,2137.584 ± 3437.98,8171.213 ± 11370.311,0.006 ± 0.032,0.072 ± 0.034
ActivityCounts,429.833 ± 459.348,1805.868 ± 2529.336,12401.019 ± 16893.782,-0.003 ± 0.019,0.127 ± 0.034
