,MAE,MRE,RMSE,r_{\mathrm{Pearson}},\rho_{\mathrm{Spearman}}
Barometer,BOLD{0.554 ± 0.023},BOLD{2.123 ± 0.531},BOLD{0.816 ± 0.065},BOLD{0.608 ± 0.052},BOLD{0.685 ± 0.026}
ActivityCounts,0.664 ± 0.387,2.202 ± 1.584,3.141 ± 7.168,0.093 ± 0.058,0.306 ± 0.037
HR,0.669 ± 0.019,5.35 ± 2.224,0.919 ± 0.056,0.458 ± 0.037,0.591 ± 0.026
RESP,0.723 ± 0.036,4.611 ± 1.776,1.064 ± 0.41,0.26 ± 0.051,0.34 ± 0.022
HRV,0.727 ± 0.017,8.655 ± 6.428,0.939 ± 0.031,0.39 ± 0.029,0.428 ± 0.025
BloodPerfusion,0.734 ± 0.204,2.946 ± 0.618,1.418 ± 4.15,0.408 ± 0.067,0.456 ± 0.025
Steps,0.741 ± 1.025,2.508 ± 4.646,6.156 ± 19.561,0.047 ± 0.031,0.078 ± 0.041
BloodPulseWave,0.751 ± 0.082,3.689 ± 1.018,1.343 ± 1.382,0.196 ± 0.071,0.28 ± 0.028
SkinTemperature,0.771 ± 0.025,6.535 ± 2.505,1.035 ± 0.052,0.274 ± 0.041,0.329 ± 0.035
EnergyExpenditure,0.775 ± 0.887,2.563 ± 3.921,3.78 ± 14.657,0.102 ± 0.05,0.181 ± 0.034
