,MAE,MRE,RMSE,r_{\mathrm{Pearson}},\rho_{\mathrm{Spearman}}
Steps,BOLD{0.321 ± 0.014},BOLD{1.091 ± 0.138},0.736 ± 0.033,0.652 ± 0.023,0.35 ± 0.023
EnergyExpenditure,0.356 ± 0.012,1.398 ± 0.288,0.638 ± 0.026,0.772 ± 0.015,0.552 ± 0.021
HR,0.384 ± 0.007,2.863 ± 0.708,BOLD{0.53 ± 0.011},BOLD{0.847 ± 0.007},BOLD{0.847 ± 0.008}
ActivityCounts,0.408 ± 0.012,1.846 ± 0.169,0.84 ± 0.029,0.544 ± 0.016,0.543 ± 0.017
Barometer,0.509 ± 0.019,1.817 ± 0.497,0.723 ± 0.029,0.689 ± 0.022,0.725 ± 0.02
SkinTemperature,0.545 ± 0.017,4.912 ± 2.525,0.745 ± 0.024,0.67 ± 0.017,0.7 ± 0.015
BloodPerfusion,0.557 ± 0.013,2.432 ± 0.227,0.752 ± 0.019,0.661 ± 0.015,0.689 ± 0.015
BloodPulseWave,0.623 ± 0.011,3.228 ± 0.871,0.856 ± 0.015,0.518 ± 0.014,0.512 ± 0.017
RESP,0.628 ± 0.01,3.868 ± 1.145,0.869 ± 0.013,0.497 ± 0.014,0.492 ± 0.015
HRV,0.647 ± 0.011,7.992 ± 9.401,0.838 ± 0.015,0.545 ± 0.015,0.565 ± 0.017
